Strings to Match,Chapter of Origin,Matches,Score (lower is better)
"""Oh!",chapter_1,"""Oh!",0.0
"""Bingley.""",chapter_1,"Bingley?""",0.0
cried he.,chapter_2,she cried.,0.0
"""Oh!""",chapter_2,"""Oh!",0.0
"""I certainly shall not.",chapter_3,"""_That_ you certainly shall.""",-2.220446049250313e-16
"""Oh!",chapter_3,"""Oh!",0.0
"""Dear Lizzy!""",chapter_4,"""MY DEAR LIZZY,",-2.220446049250313e-16
"""Oh!",chapter_4,"""Oh!",0.0
said Jane.,chapter_5,said Jane.,-2.220446049250313e-16
"""Oh!",chapter_5,"""Oh!",0.0
"Darcy.""",chapter_6,"Darcy.""",0.0
Mr. Darcy bowed.,chapter_6,Mr. Darcy!,0.2928932188134523
"""MY DEAREST LIZZY,--",chapter_7,"""MY DEAR LIZZY,",-2.220446049250313e-16
said Jane.,chapter_7,said Jane.,-2.220446049250313e-16
What could she mean by it?,chapter_8,"""What could he mean?",-2.220446049250313e-16
"""How I long to see her again!",chapter_8,How I long to see her!,-2.220446049250313e-16
"""Oh!",chapter_9,"""Oh!",0.0
"Bingley?""",chapter_9,"Bingley?""",0.0
"""Oh!",chapter_10,"""Oh!",0.0
"""Oh!""",chapter_10,"""Oh!",0.0
"""What could he mean?",chapter_11,What could she mean by it?,-2.220446049250313e-16
cried Elizabeth.,chapter_11,cried Elizabeth.,-2.220446049250313e-16
To Mr. Darcy it was welcome intelligence--Elizabeth had been at Netherfield long enough.,chapter_12,Mr. Darcy!,0.6307255270620018
They were not welcomed home very cordially by their mother.,chapter_12,But who was your mother?,0.683772233983162
"""Dear Sir,--",chapter_13,"""DEAR SIR,",-2.220446049250313e-16
"""Oh!",chapter_13,"""Oh!",0.0
"""Ah!""",chapter_14,"""Ah!",0.0
"Has she any family?""",chapter_14,"Here you are in your own family.""",0.0
What could be the meaning of it?,chapter_15,"""What can be the meaning of this?""",0.42264973081037416
It was impossible to imagine; it was impossible not to long to know.,chapter_15,It is impossible.,0.5
He shook his head.,chapter_16,She shook her head.,-2.220446049250313e-16
cried Elizabeth.,chapter_16,cried Elizabeth.,-2.220446049250313e-16
Oh!,chapter_17,"""Oh!",0.0
It is impossible.,chapter_17,Impossible!,0.0
"""Heaven forbid!",chapter_18,Heaven forbid!,-2.220446049250313e-16
said Elizabeth to herself.,chapter_18,said Elizabeth.,-2.220446049250313e-16
"Collins.""",chapter_19,"Collins!""",0.0
"""You forget that I have made no answer.",chapter_19,He made no answer.,0.2928932188134523
"Collins!""",chapter_20,"Collins.""",0.0
"Bennet?""",chapter_20,Bennet.',0.0
"""Why will you think so?",chapter_21,"""I think she will.",0.0
It must be his own doing.,chapter_21,"Must it be so?""",0.0
"""Engaged to Mr. Collins!",chapter_22,"""From Mr. Collins!",0.2928932188134523
"My dear Charlotte--impossible!""",chapter_22,Dear me!,0.42264973081037416
"""Good Lord!",chapter_23,'Tis as good as a Lord!,0.2928932188134523
"""What should not you mind?""",chapter_23,"""For the liveliness of your mind, I did.""",0.42264973081037416
"""My dear Jane!""",chapter_24,"""Dearest Jane!",-2.220446049250313e-16
"He will be forgot, and we shall all be as we were before.""",chapter_24,_That_ is all to be forgot.,0.42264973081037416
"""So much the better.",chapter_25,So much the better.,-2.220446049250313e-16
They are all for what they can get.,chapter_25,"""I do not get on at all.",0.0
"""_That_ you certainly shall.""",chapter_26,"""I certainly shall not.",-2.220446049250313e-16
Oh!,chapter_26,"""Oh!",0.0
Thank Heaven!,chapter_27,Thank Heaven!,-2.220446049250313e-16
"""Oh!",chapter_27,"""Oh!",0.0
cried Elizabeth.,chapter_28,cried Elizabeth.,-2.220446049250313e-16
"Yes, she will do for him very well.",chapter_28,"""Yes, very well.",-2.220446049250313e-16
"""That is very strange.",chapter_29,"""How strange!""",0.0
"""Oh!",chapter_29,"""Oh!",0.0
"""My eldest sister has been in town these three months.",chapter_30,"I could not allow myself to conceal that your sister had been in town three months last winter, that I had known it, and purposely kept it from him.",0.5876069505788386
"Have you never happened to see her there?""",chapter_30,"Did you see it?""",0.5917517095361369
"""So much the better.",chapter_31,So much the better.,-2.220446049250313e-16
What is it you are talking of?,chapter_31,"""Of what are you talking?""",0.0
