"--I heard you were round, said Blazes Boylan.",i heard you were round said blazes boylan
"He touched to fair miss Kennedy a rim of his slanted straw. She smiled on him. But sister bronze outsmiled her, preening for him her richer hair, a bosom and a rose.",he touched to fair miss kennedy a rim of his slanted straw she smiled on him but sister bronze outsmiled her preening for him her richer hair a bosom and a rose
Smart Boylan bespoke potions.,smart boylan bespoke potions
"--What's your cry? Glass of bitter? Glass of bitter, please, and a sloegin for me. Wire in yet?",whats your cry glass of bitter glass of bitter please and a sloegin for me wire in yet
Not yet. At four she. Who said four?,not yet at four she who said four
Cowley's red lugs and bulging apple in the door of the sheriff's office.,cowleys red lugs and bulging apple in the door of the sheriffs office
Avoid. Goulding a chance. What is he doing in the Ormond? Car waiting.,avoid goulding a chance what is he doing in the ormond car waiting
Wait.,wait
"Hello. Where off to? Something to eat? I too was just. In here. What, Ormond? Best value in Dublin. Is that so? Diningroom. Sit tight there. See, not be seen. I think I'll join you. Come on. Richie led on. Bloom followed bag. Dinner fit for a prince.",hello where off to something to eat i too was just in here what ormond best value in dublin is that so diningroom sit tight there see not be seen i think ill join you come on richie led on bloom followed bag dinner fit for a prince
"Miss Douce reached high to take a flagon, stretching her satin arm, her bust, that all but burst, so high.",miss douce reached high to take a flagon stretching her satin arm her bust that all but burst so high
"--O! O! jerked Lenehan, gasping at each stretch. O!",o o jerked lenehan gasping at each stretch o
But easily she seized her prey and led it low in triumph.,but easily she seized her prey and led it low in triumph
--Why don't you grow? asked Blazes Boylan.,why dont you grow asked blazes boylan
"Shebronze, dealing from her oblique jar thick syrupy liquor for his lips, looked as it flowed (flower in his coat: who gave him?), and syrupped with her voice:",shebronze dealing from her oblique jar thick syrupy liquor for his lips looked as it flowed flower in his coat who gave him and syrupped with her voice
--Fine goods in small parcels.,fine goods in small parcels
That is to say she. Neatly she poured slowsyrupy sloe.,that is to say she neatly she poured slowsyrupy sloe
"--Here's fortune, Blazes said.",heres fortune blazes said
He pitched a broad coin down. Coin rang.,he pitched a broad coin down coin rang
"--Hold on, said Lenehan, till I...",hold on said lenehan till i
"--Fortune, he wished, lifting his bubbled ale.",fortune he wished lifting his bubbled ale
"--Sceptre will win in a canter, he said.",sceptre will win in a canter he said
"--I plunged a bit, said Boylan winking and drinking. Not on my own, you know. Fancy of a friend of mine.",i plunged a bit said boylan winking and drinking not on my own you know fancy of a friend of mine
"Lenehan still drank and grinned at his tilted ale and at miss Douce's lips that all but hummed, not shut, the oceansong her lips had trilled.",lenehan still drank and grinned at his tilted ale and at miss douces lips that all but hummed not shut the oceansong her lips had trilled
Idolores. The eastern seas.,idolores the eastern seas
"Clock whirred. Miss Kennedy passed their way (flower, wonder who gave), bearing away teatray. Clock clacked.",clock whirred miss kennedy passed their way flower wonder who gave bearing away teatray clock clacked
"Miss Douce took Boylan's coin, struck boldly the cashregister. It clanged. Clock clacked. Fair one of Egypt teased and sorted in the till and hummed and handed coins in change. Look to the west. A clack. For me.",miss douce took boylans coin struck boldly the cashregister it clanged clock clacked fair one of egypt teased and sorted in the till and hummed and handed coins in change look to the west a clack for me
--What time is that? asked Blazes Boylan. Four?,what time is that asked blazes boylan four
O'clock.,oclock
"Lenehan, small eyes ahunger on her humming, bust ahumming, tugged Blazes Boylan's elbowsleeve.",lenehan small eyes ahunger on her humming bust ahumming tugged blazes boylans elbowsleeve
"--Let's hear the time, he said.",lets hear the time he said
"The bag of Goulding, Collis, Ward led Bloom by ryebloom flowered tables. Aimless he chose with agitated aim, bald Pat attending, a table near the door. Be near. At four. Has he forgotten? Perhaps a trick. Not come: whet appetite. I couldn't do. Wait, wait. Pat, waiter, waited.",the bag of goulding collis ward led bloom by ryebloom flowered tables aimless he chose with agitated aim bald pat attending a table near the door be near at four has he forgotten perhaps a trick not come whet appetite i couldnt do wait wait pat waiter waited
Sparkling bronze azure eyed Blazure's skyblue bow and eyes.,sparkling bronze azure eyed blazures skyblue bow and eyes
"--Go on, pressed Lenehan. There's no-one. He never heard.",go on pressed lenehan theres noone he never heard
--... _to Flora's lips did hie._, to floras lips did hie
"High, a high note pealed in the treble clear.",high a high note pealed in the treble clear
Bronzedouce communing with her rose that sank and rose sought,bronzedouce communing with her rose that sank and rose sought
Blazes Boylan's flower and eyes.,blazes boylans flower and eyes
"--Please, please.",please please
He pleaded over returning phrases of avowal.,he pleaded over returning phrases of avowal
--_I could not leave thee_...,i could not leave thee
"--Afterwits, miss Douce promised coyly.",afterwits miss douce promised coyly
"--No, now, urged Lenehan. _Sonnezlacloche!_ O do! There's no-one.",no now urged lenehan sonnezlacloche o do theres noone
She looked. Quick. Miss Kenn out of earshot. Sudden bent. Two kindling faces watched her bend.,she looked quick miss kenn out of earshot sudden bent two kindling faces watched her bend
"Quavering the chords strayed from the air, found it again, lost chord, and lost and found it, faltering.",quavering the chords strayed from the air found it again lost chord and lost and found it faltering
--Go on! Do! _Sonnez!_,go on do sonnez
"Bending, she nipped a peak of skirt above her knee. Delayed. Taunted them still, bending, suspending, with wilful eyes.",bending she nipped a peak of skirt above her knee delayed taunted them still bending suspending with wilful eyes
_--Sonnez!_,sonnez
Smack. She set free sudden in rebound her nipped elastic garter smackwarm against her smackable a woman's warmhosed thigh.,smack she set free sudden in rebound her nipped elastic garter smackwarm against her smackable a womans warmhosed thigh
--_La Cloche!_ cried gleeful Lenehan. Trained by owner. No sawdust there.,la cloche cried gleeful lenehan trained by owner no sawdust there
"She smilesmirked supercilious (wept! aren't men?), but, lightward gliding, mild she smiled on Boylan.",she smilesmirked supercilious wept arent men but lightward gliding mild she smiled on boylan
"--You're the essence of vulgarity, she in gliding said.",youre the essence of vulgarity she in gliding said
"Boylan, eyed, eyed. Tossed to fat lips his chalice, drank off his chalice tiny, sucking the last fat violet syrupy drops. His spellbound eyes went after, after her gliding head as it went down the bar by mirrors, gilded arch for ginger ale, hock and claret glasses shimmering, a spiky shell, where it concerted, mirrored, bronze with sunnier bronze.",boylan eyed eyed tossed to fat lips his chalice drank off his chalice tiny sucking the last fat violet syrupy drops his spellbound eyes went after after her gliding head as it went down the bar by mirrors gilded arch for ginger ale hock and claret glasses shimmering a spiky shell where it concerted mirrored bronze with sunnier bronze
"Yes, bronze from anearby.",yes bronze from anearby
"--... _Sweetheart, goodbye!_", sweetheart goodbye
"--I'm off, said Boylan with impatience.",im off said boylan with impatience
"He slid his chalice brisk away, grasped his change.",he slid his chalice brisk away grasped his change
"--Wait a shake, begged Lenehan, drinking quickly. I wanted to tell you.",wait a shake begged lenehan drinking quickly i wanted to tell you
Tom Rochford...,tom rochford
"--Come on to blazes, said Blazes Boylan, going.",come on to blazes said blazes boylan going
Lenehan gulped to go.,lenehan gulped to go
--Got the horn or what? he said. Wait. I'm coming.,got the horn or what he said wait im coming
"He followed the hasty creaking shoes but stood by nimbly by the threshold, saluting forms, a bulky with a slender.",he followed the hasty creaking shoes but stood by nimbly by the threshold saluting forms a bulky with a slender
"--How do you do, Mr Dollard?",how do you do mr dollard
"--Eh? How do? How do? Ben Dollard's vague bass answered, turning an instant from Father Cowley's woe. He won't give you any trouble, Bob. Alf Bergan will speak to the long fellow. We'll put a barleystraw in that Judas Iscariot's ear this time.",eh how do how do ben dollards vague bass answered turning an instant from father cowleys woe he wont give you any trouble bob alf bergan will speak to the long fellow well put a barleystraw in that judas iscariots ear this time
"Sighing Mr Dedalus came through the saloon, a finger soothing an eyelid.",sighing mr dedalus came through the saloon a finger soothing an eyelid
"--Hoho, we will, Ben Dollard yodled jollily. Come on, Simon. Give us a ditty. We heard the piano.",hoho we will ben dollard yodled jollily come on simon give us a ditty we heard the piano
